theme_color,occasion,recommended_colors,men_dresses,women_dresses
Red,Wedding,"Black, Gold, Cream, Navy, Charcoal","Black tuxedo, Navy suit, Cream sherwani, Charcoal suit, Traditional veshti and shirt, Kurta pajama, Indo-western sherwani","Saree, Lehenga, Anarkali dress, Bridal gown, Half saree, Salwar kameez, Designer saree"
Red,Birthday,"Black, Gold, Cream, Navy, Charcoal","Casual blazer with t-shirt, Denim jacket outfit, Casual kurta, Polo shirt and chinos, Smart casual shirt and jeans","Cocktail dress, Party gown, Kurti with skirt, Western mini dress, Stylish jumpsuit"
Red,Office Party,"Black, Gold, Cream, Navy, Charcoal","Formal suit, Blazer with trousers, Dress shirt with chinos, Business casual kurta, Smart office jacket outfit","Formal saree, Blouse with pencil skirt, Business dress, Kurti with palazzo, Elegant office gown"
Red,Casual Outing,"Black, Gold, Cream, Navy, Charcoal","T-shirt with jeans, Casual shirt and shorts, Hoodie and jeans, Casual kurta and pants, Denim shirt outfit","Summer dress, Kurti and jeans, Maxi dress, Casual saree, Floral dress"
Red,Formal Event,"Black, Gold, Cream, Navy, Charcoal","Classic tuxedo, Three-piece suit, Formal blazer outfit, Bandhgala suit, Formal sherwani","Evening gown, Designer saree, Formal Anarkali, Luxury lehenga, Elegant long dress"
Red,Beach Event,"Black, Gold, Cream, Navy, Charcoal","Linen shirt and shorts, Hawaiian shirt, Light cotton shirt outfit, Beach kurta, Sleeveless beach tank outfit","Beach maxi dress, Floral sundress, Light cotton dress, Kaftan dress, Beach skirt and top"
Red,Dinner Date,"Black, Gold, Cream, Navy, Charcoal","Slim fit shirt and trousers, Blazer dinner outfit, Casual suit, Stylish kurta outfit, Smart casual shirt look","Elegant satin dress, Cocktail dress, Stylish saree, Modern gown, Chic jumpsuit"
Red,Sports Event,"Black, Gold, Cream, Navy, Charcoal","Sports jersey, Athletic t-shirt, Track suit, Sports hoodie outfit, Gym wear set","Athletic set, Sports leggings and top, Track suit, Gym outfit, Activewear set"
Blue,Wedding,"White, Grey, Beige, Silver","Black tuxedo, Navy suit, Cream sherwani, Charcoal suit, Traditional veshti and shirt, Kurta pajama, Indo-western sherwani","Saree, Lehenga, Anarkali dress, Bridal gown, Half saree, Salwar kameez, Designer saree"
Blue,Birthday,"White, Grey, Beige, Silver","Casual blazer with t-shirt, Denim jacket outfit, Casual kurta, Polo shirt and chinos, Smart casual shirt and jeans","Cocktail dress, Party gown, Kurti with skirt, Western mini dress, Stylish jumpsuit"
